depth,months,shape,bond,dd,dd_bh,ret,ret_bh,w,гистерезис 2%,подтверждение 2 мес,стоп −15%,стоп −20%,depth_real
-0.3,3,saw,rally,-21.06722504239149,-67.97232962517853,87.03678875439869,-29.909078175625613,0.0028469295788371126,-34.812438750981265,-20.83056749461878,-19.055432813209197,-21.00716655103628,-0.6
-0.3,3,saw,flat,-27.95928148388279,-47.28438320520704,42.49606706906328,-11.082626446147623,0.003717755097069642,-34.18572280083863,-28.03835540162673,-24.70388242198213,-24.036620254579898,-0.5
-0.3,3,saw,fall,-37.95398627472786,-52.43743813983549,-18.710922137978827,-31.351660580951545,0.0007033590724185809,-35.41246442525083,-16.46688684049512,-25.99663427534056,-27.791989077397737,-0.5
-0.3,6,front,rally,-32.14261599412416,-31.667299623319323,-4.749662518937525,19.93096281328832,0.0017216609706011,-37.05192617938609,-34.59671626102862,-22.346993510314107,-24.798846101170525,-0.3
-0.3,6,front,flat,-30.738007316370062,-60.79277336510343,31.651063374036514,-16.658343335641334,0.0011021013133605657,-36.35416836751364,-30.39049594164347,-18.887927333022592,-23.20022175080544,-0.6
-0.3,6,front,fall,-33.783383015424974,-45.69243162128886,111.51544730256772,84.09563804409204,0.00012510339232741556,-34.798066054442835,-23.6349771240478,-23.984303240308304,-27.15522002220229,-0.5
-0.3,6,linear,rally,-16.370957717752923,-57.22865966429007,162.19306935591703,42.946121498573575,0.0015191126211186172,-8.72264330891509,-8.895721727690342,-16.190046640404542,-16.581544571823382,-0.6
-0.3,6,linear,flat,-24.01878197823393,-50.54255766978152,37.47548214920329,29.64578768727096,0.0019837823640490183,-29.519722012845552,-30.87340562512132,-20.33223116747712,-23.67713796423284,-0.5
-0.3,6,linear,fall,-44.91304239496047,-34.375177074413564,-3.2831936137890927,36.963491368920096,0.002126757669566065,-52.770152550866925,-27.223792243404787,-28.810202835083885,-30.54688845679393,-0.3
-0.3,6,back,rally,-19.60281400466361,-69.48358600237472,12.628642457821693,-50.3635878009934,0.0019242093200835821,-24.582907052402703,-19.60597032127577,-17.468779845186553,-19.685823521317936,-0.6
-0.3,6,back,flat,-36.32888975795346,-49.61516829647725,14.682118485078522,30.25073979127397,0.00251279099446209,-39.52114847159562,-41.99326441480395,-24.23080328618832,-26.6732756934468,-0.5
-0.3,6,back,fall,-29.06035851899299,-51.243810587522965,-24.95017531354228,-28.3173841857868,0.0004753928908441792,-24.62827335279708,-21.1371613618386,-19.34066568564721,-22.49483122455035,-0.5
-0.3,6,saw,rally,-24.38851725078979,-51.92572457004878,30.02368567674192,-27.416138792604137,0.0013975836114291282,-24.66592441237094,-26.476685716323978,-20.30103424745826,-23.49562562637174,-0.5
-0.3,6,saw,flat,-18.069410407968,-73.69592014188106,8.117558372867029,-64.50929218909431,0.005069666041458602,-18.228240370784288,-14.742539066195103,-16.532742186706894,-18.49782287464553,-0.6
-0.3,6,saw,fall,-28.08446091665404,-54.09019477314355,76.94416823147728,35.58819712048893,0.0005754756047061117,-30.75259215626033,-30.26929644947749,-21.023569250552637,-24.297213565436103,-0.5
