,nav
1997-05-12,440590926.3971011
1997-05-13,436886702.3687923
1997-05-14,438625795.7000245
1997-05-15,441821639.5495458
1997-05-16,434889716.81329256
1997-05-19,435998417.263579
1997-05-20,441444050.64453584
1997-05-21,439187509.426761
1997-05-22,437081977.55324805
1997-05-23,441722651.91034395
1997-05-27,442041891.4099292
1997-05-28,441622871.3442129
1997-05-29,440620385.69671154
1997-05-30,445970852.5893192
1997-06-02,444499845.3389328
1997-06-03,443985458.1482218
1997-06-04,443799913.4772004
1997-06-05,445389433.1626259
1997-06-06,457414156.7263926
1997-06-09,458472925.7499841
1997-06-10,459156154.5430325
1997-06-11,460515515.72465485
1997-06-12,471859091.6207864
1997-06-13,477415095.11623865
1997-06-16,478746768.0267425
1997-06-17,477027050.6825258
1997-06-18,476370576.59765327
1997-06-19,481249696.38015723
1997-06-20,480619037.3058398
1997-06-23,468123773.8650816
1997-06-24,479264154.0579093
1997-06-25,474870715.0081713
1997-06-26,470793229.8241549
1997-06-27,473978650.0631719
1997-06-30,469232682.2410899
1997-07-01,476780379.559904
1997-07-02,485629790.3959484
1997-07-03,496188921.1507956
1997-07-07,492823543.21185005
1997-07-08,497886563.18541986
1997-07-09,493156706.3067971
1997-07-10,494931639.29561985
1997-07-11,497670456.86638904
1997-07-14,498216361.5538013
1997-07-15,500689500.3025617
1997-07-16,509370497.06528217
1997-07-17,507201898.47422594
1997-07-18,494745077.5335954
1997-07-21,493870777.7581176
1997-07-22,511191579.0786147
1997-07-23,511111475.64531493
1997-07-24,512661628.72469103
1997-07-25,511540194.42082715
1997-07-28,512102533.03606474
1997-07-29,515632133.10235834
1997-07-30,523880771.4652632
1997-07-31,524481060.75089866
1997-08-01,515476518.02123505
1997-08-04,515789354.2575811
1997-08-05,516088747.4113759
1997-08-06,521008150.4892623
1997-08-07,515966343.3829649
1997-08-08,500159908.63456655
1997-08-11,504690405.617981
1997-08-12,495549908.7222932
1997-08-13,495113362.6282277
1997-08-14,500220867.55321926
1997-08-15,484997759.9939761
1997-08-18,498020487.1774614
1997-08-19,503664381.4934317
1997-08-20,510049219.2197806
1997-08-21,498981895.7103178
1997-08-22,495869380.755916
1997-08-25,493810761.9657015
1997-08-26,486772303.0581085
1997-08-27,489662758.00998235
1997-08-28,485100377.4705247
1997-08-29,485548650.04504687
1997-09-02,502551464.0668751
1997-09-03,499129735.2911329
1997-09-04,502272521.31614715
1997-09-05,499383666.1566578
1997-09-08,503142436.23445624
1997-09-09,503002733.2002296
1997-09-10,491543376.07063997
1997-09-11,488289818.094978
1997-09-12,499732023.5764597
1997-09-15,499398711.09528184
1997-09-16,517904552.06310743
1997-09-17,518241631.1201126
1997-09-18,519997635.3499949
1997-09-19,521594970.8767075
1997-09-22,525736842.2065387
1997-09-23,521830996.45406735
1997-09-24,519920216.8100975
1997-09-25,512937979.5536982
1997-09-26,519018646.46363664
1997-09-29,523254054.87886554
1997-09-30,517096273.2338547
1997-10-01,526844451.56780744
1997-10-02,530813777.9835645
1997-10-03,533380234.42180353
1997-10-06,538937925.808563
1997-10-07,544707719.5438511
1997-10-08,535346196.68412834
1997-10-09,533008759.3675187
1997-10-10,529040908.4527061
1997-10-13,529434167.6695046
1997-10-14,533027247.4884452
