,nav
2000-04-03,759709177.9909027
2000-04-04,759276649.4639089
2000-04-05,754495222.2795278
2000-04-06,759244522.859363
2000-04-07,767922635.9995767
2000-04-10,768505809.4259177
2000-04-11,761175945.5378946
2000-04-12,735885253.378018
2000-04-13,727248618.2188427
2000-04-14,690640873.2945241
2000-04-17,706422474.4103718
2000-04-18,722970296.1297771
2000-04-19,719267979.0901229
2000-04-20,722655866.081834
2000-04-24,714568001.7389158
2000-04-25,736973354.4561453
2000-04-26,728512679.6634368
2000-04-27,721379614.4906977
2000-04-28,716762484.1246476
2000-05-01,723730670.1749783
2000-05-02,707359521.1956046
2000-05-03,686601910.9203367
2000-05-04,688712727.223743
2000-05-05,694497597.8044761
2000-05-08,686446058.0894612
2000-05-09,682875951.4849169
2000-05-10,670436400.5311253
2000-05-11,687534965.6512055
2000-05-12,690962344.0303206
2000-05-15,704992860.1932626
2000-05-16,713661914.317961
2000-05-17,703789317.6592549
2000-05-18,691260563.4970114
2000-05-19,682809645.565616
2000-05-22,681301501.591853
2000-05-23,670817448.6613505
2000-05-24,680628694.0851263
2000-05-25,672809983.1110001
2000-05-26,676489877.611257
2000-05-30,696000261.6565053
2000-05-31,701933660.0828626
2000-06-01,718405099.0007167
2000-06-02,733028690.1660379
2000-06-05,731221758.3371459
2000-06-06,727008648.0412656
2000-06-07,732339656.8906295
2000-06-08,729495010.9027171
2000-06-09,727930476.8150499
2000-06-12,721802227.9120423
2000-06-13,733854958.6237797
